"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"14932","18-05-25 20:45","Italy","Serie A","2024/2025","Fiorentina","Bologna","3.06","3.06","2.65","1.09","8.00","1.41","3.00","2.37","1.62","4.48","1.22","9.26","1.07","1.90","1.90"
"14933","18-05-25 20:45","Italy","Serie A","2024/2025","Inter","Lazio","1.68","4.00","5.39","1.04","13.00","1.22","4.50","1.70","2.20","2.66","1.50","4.80","1.20","1.65","2.24"
"14934","18-05-25 20:45","Italy","Serie A","2024/2025","Juventus","Udinese","1.44","4.87","7.70","1.05","11.00","1.26","4.00","1.90","2.00","3.06","1.40","6.00","1.14","2.04","1.78"
"14935","18-05-25 20:45","Italy","Serie A","2024/2025","Lecce","Torino","2.17","3.19","3.91","1.11","7.00","1.48","2.75","2.47","1.57","4.80","1.20","9.99","1.06","2.04","1.78"
"14936","18-05-25 20:45","Italy","Serie A","2024/2025","Monza","Empoli","5.33","3.66","1.75","1.08","9.00","1.37","3.20","2.24","1.73","4.14","1.25","8.45","1.09","2.10","1.74"
"14937","18-05-25 20:45","Italy","Serie A","2024/2025","Parma","Napoli","7.16","4.60","1.49","1.05","11.00","1.29","3.75","1.99","1.91","3.24","1.37","6.54","1.13","2.04","1.78"
"14938","18-05-25 20:45","Italy","Serie A","2024/2025","Verona","Como","3.26","3.17","2.45","1.09","8.00","1.41","3.00","2.37","1.62","4.48","1.22","9.26","1.07","1.90","1.90"
"14939","17-05-25 20:45","Italy","Serie A","2024/2025","Genoa","Atalanta","3.36","3.50","2.24","1.06","10.00","1.34","3.40","2.13","1.80","3.67","1.30","7.06","1.11","1.76","2.06"
"14940","12-05-25 20:45","Italy","Serie A","2024/2025","Atalanta","AS Roma","2.10","3.58","3.64","1.04","13.00","1.23","4.33","1.82","2.10","2.66","1.50","5.41","1.17","1.56","2.43"
"14941","12-05-25 18:30","Italy","Serie A","2024/2025","Venezia","Fiorentina","2.83","3.08","2.84","1.10","7.29","1.45","2.86","2.28","1.66","4.30","1.24","8.91","1.08","1.90","1.90"
"14942","11-05-25 20:45","Italy","Serie A","2024/2025","Napoli","Genoa","1.32","5.74","10.40","1.03","13.50","1.22","4.51","1.76","2.19","2.75","1.48","5.20","1.18","2.16","1.70"
"14943","11-05-25 18:00","Italy","Serie A","2024/2025","Torino","Inter","5.40","3.80","1.72","1.08","9.00","1.37","3.20","2.24","1.73","4.14","1.25","8.45","1.09","1.96","1.85"
"14944","11-05-25 15:00","Italy","Serie A","2024/2025","Verona","Lecce","2.57","2.82","3.49","1.16","5.50","1.61","2.38","2.86","1.45","5.41","1.17","12.50","1.04","2.15","1.70"
"14945","11-05-25 12:30","Italy","Serie A","2024/2025","Udinese","Monza","1.64","4.10","5.64","1.05","11.00","1.29","3.75","1.99","1.91","3.24","1.37","6.54","1.13","1.83","1.98"
"14946","10-05-25 20:45","Italy","Serie A","2024/2025","Empoli","Parma","2.49","3.06","3.31","1.11","7.00","1.48","2.75","2.47","1.57","4.80","1.20","9.99","1.06","1.90","1.90"
"14947","10-05-25 18:00","Italy","Serie A","2024/2025","Lazio","Juventus","2.45","3.19","3.23","1.07","9.47","1.34","3.37","2.24","1.73","3.94","1.27","8.05","1.09","1.81","2.00"
"14948","10-05-25 15:00","Italy","Serie A","2024/2025","Como","Cagliari","1.78","3.92","4.65","1.04","13.00","1.23","4.33","1.70","2.20","2.86","1.45","5.41","1.17","1.65","2.24"
"14949","09-05-25 20:45","Italy","Serie A","2024/2025","AC Milan","Bologna","2.19","3.50","3.47","1.05","11.00","1.29","3.75","1.99","1.91","3.43","1.34","6.54","1.13","1.70","2.14"
"14950","05-05-25 20:45","Italy","Serie A","2024/2025","Genoa","AC Milan","4.69","3.94","1.82","1.02","13.40","1.23","3.62","1.88","2.07","2.88","1.35","5.10","1.10","1.73","2.06"
