squadra_casa,squadra_ospite,data_partita,valore_titolari_casa,valore_titolari_ospite
Unione Sportiva Cremonese S.p.A.,Verona Hellas Football Club,2023-04-30,40100000,42000000
Football Club Internazionale Milano S.p.A.,Società Sportiva Lazio S.p.A.,2023-04-30,268000000,201500000
Società Sportiva Calcio Napoli,US Salernitana 1919,2023-04-30,467000000,47400000
Unione Sportiva Sassuolo Calcio,FC Empoli,2023-04-30,85800000,62000000
Associazione Calcio Fiorentina,UC Sampdoria,2023-04-30,133100000,35500000
Bologna Football Club 1909,Juventus Football Club,2023-04-30,92000000,203500000
Torino Calcio,Atalanta Bergamasca Calcio S.p.a.,2023-04-29,85000000,195500000
Associazione Sportiva Roma,Associazione Calcio Milan,2023-04-29,200000000,368000000
Unione Sportiva Lecce,Udinese Calcio,2023-04-28,57500000,85900000
Spezia Calcio,AC Monza,2023-04-28,47300000,70300000
Atalanta Bergamasca Calcio S.p.a.,Associazione Sportiva Roma,2023-04-24,170500000,196500000
Udinese Calcio,Unione Sportiva Cremonese S.p.A.,2023-04-23,89300000,37000000
Associazione Calcio Milan,Unione Sportiva Lecce,2023-04-23,365000000,48500000
AC Monza,Associazione Calcio Fiorentina,2023-04-23,70300000,130500000
FC Empoli,Football Club Internazionale Milano S.p.A.,2023-04-23,47700000,163500000
Juventus Football Club,Società Sportiva Calcio Napoli,2023-04-23,150500000,431000000
Società Sportiva Lazio S.p.A.,Torino Calcio,2023-04-22,172500000,101500000
US Salernitana 1919,Unione Sportiva Sassuolo Calcio,2023-04-22,44700000,94800000
UC Sampdoria,Spezia Calcio,2023-04-22,37200000,34900000
Verona Hellas Football Club,Bologna Football Club 1909,2023-04-21,44300000,87500000
Associazione Calcio Fiorentina,Atalanta Bergamasca Calcio S.p.a.,2023-04-17,139500000,180500000
Unione Sportiva Sassuolo Calcio,Juventus Football Club,2023-04-16,110300000,232600000
Torino Calcio,US Salernitana 1919,2023-04-16,90000000,48900000
Unione Sportiva Lecce,UC Sampdoria,2023-04-16,55500000,35200000
Associazione Sportiva Roma,Udinese Calcio,2023-04-16,137000000,89300000
Bologna Football Club 1909,Associazione Calcio Milan,2023-04-15,80000000,174500000
Società Sportiva Calcio Napoli,Verona Hellas Football Club,2023-04-15,268000000,43800000
Football Club Internazionale Milano S.p.A.,AC Monza,2023-04-15,277000000,69300000
Spezia Calcio,Società Sportiva Lazio S.p.A.,2023-04-14,42400000,190500000
Unione Sportiva Cremonese S.p.A.,FC Empoli,2023-04-14,41200000,47200000
Atalanta Bergamasca Calcio S.p.a.,Bologna Football Club 1909,2023-04-08,203500000,72000000
Torino Calcio,Associazione Sportiva Roma,2023-04-08,92500000,143500000
Verona Hellas Football Club,Unione Sportiva Sassuolo Calcio,2023-04-08,46700000,114800000
Associazione Calcio Fiorentina,Spezia Calcio,2023-04-08,107000000,41400000
Udinese Calcio,AC Monza,2023-04-08,95800000,65300000
Società Sportiva Lazio S.p.A.,Juventus Football Club,2023-04-08,201500000,256500000
UC Sampdoria,Unione Sportiva Cremonese S.p.A.,2023-04-08,36300000,33100000
US Salernitana 1919,Football Club Internazionale Milano S.p.A.,2023-04-07,39900000,226000000
Unione Sportiva Lecce,Società Sportiva Calcio Napoli,2023-04-07,54000000,378000000
Associazione Calcio Milan,FC Empoli,2023-04-07,313000000,47200000
Unione Sportiva Sassuolo Calcio,Torino Calcio,2023-04-03,119800000,103500000
FC Empoli,Unione Sportiva Lecce,2023-04-03,47100000,58700000
Associazione Sportiva Roma,UC Sampdoria,2023-04-02,186000000,36300000
Spezia Calcio,US Salernitana 1919,2023-04-02,40900000,53100000
Bologna Football Club 1909,Udinese Calcio,2023-04-02,69500000,84700000
AC Monza,Società Sportiva Lazio S.p.A.,2023-04-02,72000000,193500000
Società Sportiva Calcio Napoli,Associazione Calcio Milan,2023-04-02,366000000,368000000
Unione Sportiva Cremonese S.p.A.,Atalanta Bergamasca Calcio S.p.a.,2023-04-01,33700000,139500000
Juventus Football Club,Verona Hellas Football Club,2023-04-01,160400000,36500000
Football Club Internazionale Milano S.p.A.,Associazione Calcio Fiorentina,2023-04-01,287000000,100000000
Società Sportiva Lazio S.p.A.,Associazione Sportiva Roma,2023-03-19,170000000,210000000
UC Sampdoria,Verona Hellas Football Club,2023-03-19,38500000,39300000
Torino Calcio,Società Sportiva Calcio Napoli,2023-03-19,91500000,379000000
Associazione Calcio Fiorentina,Unione Sportiva Lecce,2023-03-19,140500000,38800000
Football Club Internazionale Milano S.p.A.,Juventus Football Club,2023-03-19,360000000,245500000
Udinese Calcio,Associazione Calcio Milan,2023-03-18,91300000,341500000
AC Monza,Unione Sportiva Cremonese S.p.A.,2023-03-18,62100000,35800000
US Salernitana 1919,Bologna Football Club 1909,2023-03-18,45500000,69000000
Unione Sportiva Sassuolo Calcio,Spezia Calcio,2023-03-17,111300000,36900000
Atalanta Bergamasca Calcio S.p.a.,FC Empoli,2023-03-17,143500000,33800000
Associazione Calcio Milan,US Salernitana 1919,2023-03-13,359000000,45500000
Associazione Sportiva Roma,Unione Sportiva Sassuolo Calcio,2023-03-12,151500000,123100000
Unione Sportiva Lecce,Torino Calcio,2023-03-12,38300000,82500000
Verona Hellas Football Club,AC Monza,2023-03-12,39100000,62900000
Unione Sportiva Cremonese S.p.A.,Associazione Calcio Fiorentina,2023-03-12,32200000,130300000
Juventus Football Club,UC Sampdoria,2023-03-12,217100000,35800000
FC Empoli,Udinese Calcio,2023-03-11,42100000,91800000
Società Sportiva Calcio Napoli,Atalanta Bergamasca Calcio S.p.a.,2023-03-11,363000000,163000000
Bologna Football Club 1909,Società Sportiva Lazio S.p.A.,2023-03-11,69000000,175000000
Spezia Calcio,Football Club Internazionale Milano S.p.A.,2023-03-10,46900000,325000000
Unione Sportiva Sassuolo Calcio,Unione Sportiva Cremonese S.p.A.,2023-03-06,99900000,33800000
Torino Calcio,Bologna Football Club 1909,2023-03-06,77500000,69200000
UC Sampdoria,US Salernitana 1919,2023-03-05,41700000,40500000
Spezia Calcio,Verona Hellas Football Club,2023-03-05,39400000,33100000
Football Club Internazionale Milano S.p.A.,Unione Sportiva Lecce,2023-03-05,313000000,40300000
Associazione Sportiva Roma,Juventus Football Club,2023-03-05,199000000,251500000
Associazione Calcio Fiorentina,Associazione Calcio Milan,2023-03-04,134000000,329000000
Atalanta Bergamasca Calcio S.p.a.,Udinese Calcio,2023-03-04,170000000,89500000
AC Monza,FC Empoli,2023-03-04,62900000,42100000
Società Sportiva Calcio Napoli,Società Sportiva Lazio S.p.A.,2023-03-03,379000000,185000000
Unione Sportiva Cremonese S.p.A.,Associazione Sportiva Roma,2023-02-28,34000000,216000000
Juventus Football Club,Torino Calcio,2023-02-28,222100000,77500000
Società Sportiva Lazio S.p.A.,UC Sampdoria,2023-02-27,170000000,40800000
Verona Hellas Football Club,Associazione Calcio Fiorentina,2023-02-27,41100000,138500000
Bologna Football Club 1909,Football Club Internazionale Milano S.p.A.,2023-02-26,74200000,340000000
US Salernitana 1919,AC Monza,2023-02-26,40500000,52900000
Associazione Calcio Milan,Atalanta Bergamasca Calcio S.p.a.,2023-02-26,360000000,175000000
Udinese Calcio,Spezia Calcio,2023-02-26,84300000,39400000
FC Empoli,Società Sportiva Calcio Napoli,2023-02-25,55100000,372000000
Unione Sportiva Lecce,Unione Sportiva Sassuolo Calcio,2023-02-25,40000000,82800000
Torino Calcio,Unione Sportiva Cremonese S.p.A.,2023-02-20,67000000,33200000
Spezia Calcio,Juventus Football Club,2023-02-19,42900000,222000000
Atalanta Bergamasca Calcio S.p.a.,Unione Sportiva Lecce,2023-02-19,183000000,33000000
US Salernitana 1919,Società Sportiva Lazio S.p.A.,2023-02-19,46800000,103500000
Associazione Sportiva Roma,Verona Hellas Football Club,2023-02-19,157000000,39900000
Associazione Calcio Fiorentina,FC Empoli,2023-02-19,121000000,40500000
UC Sampdoria,Bologna Football Club 1909,2023-02-18,41000000,74200000
Football Club Internazionale Milano S.p.A.,Udinese Calcio,2023-02-18,287000000,94300000
AC Monza,Associazione Calcio Milan,2023-02-18,74400000,331600000
Unione Sportiva Sassuolo Calcio,Società Sportiva Calcio Napoli,2023-02-17,87900000,354000000
UC Sampdoria,Football Club Internazionale Milano S.p.A.,2023-02-13,42800000,356000000
Verona Hellas Football Club,US Salernitana 1919,2023-02-13,39400000,40600000
Società Sportiva Calcio Napoli,Unione Sportiva Cremonese S.p.A.,2023-02-12,372000000,36300000
Juventus Football Club,Associazione Calcio Fiorentina,2023-02-12,303000000,133800000
Udinese Calcio,Unione Sportiva Sassuolo Calcio,2023-02-12,92300000,84800000
Bologna Football Club 1909,AC Monza,2023-02-12,59700000,75100000
Società Sportiva Lazio S.p.A.,Atalanta Bergamasca Calcio S.p.a.,2023-02-11,190500000,171000000
Unione Sportiva Lecce,Associazione Sportiva Roma,2023-02-11,38800000,222000000
FC Empoli,Spezia Calcio,2023-02-11,46000000,38100000
Associazione Calcio Milan,Torino Calcio,2023-02-10,289600000,78900000
US Salernitana 1919,Juventus Football Club,2023-02-07,49800000,258000000
AC Monza,UC Sampdoria,2023-02-06,59600000,42000000
Verona Hellas Football Club,Società Sportiva Lazio S.p.A.,2023-02-06,40100000,178000000
Associazione Calcio Fiorentina,Bologna Football Club 1909,2023-02-05,135000000,73200000
Torino Calcio,Udinese Calcio,2023-02-05,67500000,86800000
Football Club Internazionale Milano S.p.A.,Associazione Calcio Milan,2023-02-05,352000000,211600000
Spezia Calcio,Società Sportiva Calcio Napoli,2023-02-05,45600000,372000000
Unione Sportiva Cremonese S.p.A.,Unione Sportiva Lecce,2023-02-04,34800000,38800000
Associazione Sportiva Roma,FC Empoli,2023-02-04,222000000,53800000
Unione Sportiva Sassuolo Calcio,Atalanta Bergamasca Calcio S.p.a.,2023-02-04,88800000,178000000
Udinese Calcio,Verona Hellas Football Club,2023-01-30,86800000,31600000
Società Sportiva Lazio S.p.A.,Associazione Calcio Fiorentina,2023-01-29,170000000,137300000
Associazione Calcio Milan,Unione Sportiva Sassuolo Calcio,2023-01-29,248600000,102300000
Società Sportiva Calcio Napoli,Associazione Sportiva Roma,2023-01-29,372000000,232000000
Juventus Football Club,AC Monza,2023-01-29,176500000,61600000
FC Empoli,Torino Calcio,2023-01-28,48300000,72200000
Atalanta Bergamasca Calcio S.p.a.,UC Sampdoria,2023-01-28,173000000,37400000
Unione Sportiva Cremonese S.p.A.,Football Club Internazionale Milano S.p.A.,2023-01-28,29300000,256500000
Unione Sportiva Lecce,US Salernitana 1919,2023-01-27,43800000,52000000
Bologna Football Club 1909,Spezia Calcio,2023-01-27,70500000,38100000
Società Sportiva Lazio S.p.A.,Associazione Calcio Milan,2023-01-24,170000000,331600000
Football Club Internazionale Milano S.p.A.,FC Empoli,2023-01-23,379000000,47800000
Bologna Football Club 1909,Unione Sportiva Cremonese S.p.A.,2023-01-23,70000000,32300000
AC Monza,Unione Sportiva Sassuolo Calcio,2023-01-22,58900000,104800000
Spezia Calcio,Associazione Sportiva Roma,2023-01-22,37300000,192000000
UC Sampdoria,Udinese Calcio,2023-01-22,42500000,86800000
Juventus Football Club,Atalanta Bergamasca Calcio S.p.a.,2023-01-22,197500000,153500000
Verona Hellas Football Club,Unione Sportiva Lecce,2023-01-21,49500000,38800000
US Salernitana 1919,Società Sportiva Calcio Napoli,2023-01-21,51800000,335000000
Associazione Calcio Fiorentina,Torino Calcio,2023-01-21,107000000,79400000
FC Empoli,UC Sampdoria,2023-01-16,52000000,31300000
Associazione Sportiva Roma,Associazione Calcio Fiorentina,2023-01-15,216500000,133500000
Unione Sportiva Sassuolo Calcio,Società Sportiva Lazio S.p.A.,2023-01-15,110100000,190500000
Torino Calcio,Spezia Calcio,2023-01-15,104500000,39600000
Udinese Calcio,Bologna Football Club 1909,2023-01-15,98000000,56000000
Atalanta Bergamasca Calcio S.p.a.,US Salernitana 1919,2023-01-15,148500000,49900000
Football Club Internazionale Milano S.p.A.,Verona Hellas Football Club,2023-01-14,288500000,48500000
Unione Sportiva Cremonese S.p.A.,AC Monza,2023-01-14,35900000,56400000
Unione Sportiva Lecce,Associazione Calcio Milan,2023-01-14,39800000,352600000
Società Sportiva Calcio Napoli,Juventus Football Club,2023-01-13,364000000,249500000
Bologna Football Club 1909,Atalanta Bergamasca Calcio S.p.a.,2023-01-09,53500000,159500000
Verona Hellas Football Club,Unione Sportiva Cremonese S.p.A.,2023-01-09,48500000,29200000
US Salernitana 1919,Torino Calcio,2023-01-08,45900000,85000000
Spezia Calcio,Unione Sportiva Lecce,2023-01-08,49100000,35300000
UC Sampdoria,Società Sportiva Calcio Napoli,2023-01-08,28200000,326000000
Associazione Calcio Milan,Associazione Sportiva Roma,2023-01-08,384600000,258000000
Società Sportiva Lazio S.p.A.,FC Empoli,2023-01-08,201500000,51300000
Associazione Calcio Fiorentina,Unione Sportiva Sassuolo Calcio,2023-01-07,92350000,122500000
AC Monza,Football Club Internazionale Milano S.p.A.,2023-01-07,59400000,352000000
Juventus Football Club,Udinese Calcio,2023-01-07,177000000,98000000
Unione Sportiva Sassuolo Calcio,UC Sampdoria,2023-01-04,116600000,29100000
Associazione Sportiva Roma,Bologna Football Club 1909,2023-01-04,203250000,61000000
Associazione Calcio Fiorentina,AC Monza,2023-01-04,95350000,54900000
Unione Sportiva Cremonese S.p.A.,Juventus Football Club,2023-01-04,35500000,182000000
Spezia Calcio,Atalanta Bergamasca Calcio S.p.a.,2023-01-04,45100000,149000000
Torino Calcio,Verona Hellas Football Club,2023-01-04,92500000,36300000
Football Club Internazionale Milano S.p.A.,Società Sportiva Calcio Napoli,2023-01-04,332000000,371000000
US Salernitana 1919,Associazione Calcio Milan,2023-01-04,52200000,384600000
Unione Sportiva Lecce,Società Sportiva Lazio S.p.A.,2023-01-04,40300000,178000000
Udinese Calcio,FC Empoli,2023-01-04,87000000,51900000
Juventus Football Club,Società Sportiva Lazio S.p.A.,2022-11-13,185000000,138000000
Verona Hellas Football Club,Spezia Calcio,2022-11-13,37200000,45800000
Associazione Sportiva Roma,Torino Calcio,2022-11-13,197000000,80000000
AC Monza,US Salernitana 1919,2022-11-13,65100000,52900000
Associazione Calcio Milan,Associazione Calcio Fiorentina,2022-11-13,354600000,117500000
Atalanta Bergamasca Calcio S.p.a.,Football Club Internazionale Milano S.p.A.,2022-11-13,201500000,387000000
Bologna Football Club 1909,Unione Sportiva Sassuolo Calcio,2022-11-12,57000000,108700000
Società Sportiva Calcio Napoli,Udinese Calcio,2022-11-12,321000000,78300000
UC Sampdoria,Unione Sportiva Lecce,2022-11-12,28400000,42200000
FC Empoli,Unione Sportiva Cremonese S.p.A.,2022-11-11,52800000,41100000
Verona Hellas Football Club,Juventus Football Club,2022-11-10,31400000,187500000
Società Sportiva Lazio S.p.A.,AC Monza,2022-11-10,142000000,48900000
Football Club Internazionale Milano S.p.A.,Bologna Football Club 1909,2022-11-09,376000000,73700000
Unione Sportiva Sassuolo Calcio,Associazione Sportiva Roma,2022-11-09,92100000,151900000
Associazione Calcio Fiorentina,US Salernitana 1919,2022-11-09,129500000,49600000
Torino Calcio,UC Sampdoria,2022-11-09,93900000,31650000
Unione Sportiva Lecce,Atalanta Bergamasca Calcio S.p.a.,2022-11-09,34800000,156900000
Società Sportiva Calcio Napoli,FC Empoli,2022-11-08,268000000,58300000
Unione Sportiva Cremonese S.p.A.,Associazione Calcio Milan,2022-11-08,33900000,202100000
Spezia Calcio,Udinese Calcio,2022-11-08,40450000,57300000
Bologna Football Club 1909,Torino Calcio,2022-11-06,75500000,103000000
Juventus Football Club,Football Club Internazionale Milano S.p.A.,2022-11-06,189500000,336000000
UC Sampdoria,Associazione Calcio Fiorentina,2022-11-06,35850000,128000000
Associazione Sportiva Roma,Società Sportiva Lazio S.p.A.,2022-11-06,242000000,116500000
AC Monza,Verona Hellas Football Club,2022-11-06,73400000,46300000
Associazione Calcio Milan,Spezia Calcio,2022-11-05,287600000,42600000
Atalanta Bergamasca Calcio S.p.a.,Società Sportiva Calcio Napoli,2022-11-05,186000000,288000000
FC Empoli,Unione Sportiva Sassuolo Calcio,2022-11-05,47200000,111100000
US Salernitana 1919,Unione Sportiva Cremonese S.p.A.,2022-11-05,51600000,35000000
Udinese Calcio,Unione Sportiva Lecce,2022-11-04,65100000,30800000
Verona Hellas Football Club,Associazione Sportiva Roma,2022-10-31,47200000,242000000
AC Monza,Bologna Football Club 1909,2022-10-31,70000000,77500000
Torino Calcio,Associazione Calcio Milan,2022-10-30,103000000,311600000
Unione Sportiva Cremonese S.p.A.,Udinese Calcio,2022-10-30,42300000,73800000
Società Sportiva Lazio S.p.A.,US Salernitana 1919,2022-10-30,116500000,42600000
FC Empoli,Atalanta Bergamasca Calcio S.p.a.,2022-10-30,50400000,186000000
Spezia Calcio,Associazione Calcio Fiorentina,2022-10-30,43100000,129500000
Unione Sportiva Lecce,Juventus Football Club,2022-10-29,37000000,140500000
Società Sportiva Calcio Napoli,Unione Sportiva Sassuolo Calcio,2022-10-29,292000000,100500000
Football Club Internazionale Milano S.p.A.,UC Sampdoria,2022-10-29,392000000,36700000
Unione Sportiva Sassuolo Calcio,Verona Hellas Football Club,2022-10-24,82100000,49200000
Unione Sportiva Cremonese S.p.A.,UC Sampdoria,2022-10-24,42300000,34500000
Associazione Sportiva Roma,Società Sportiva Calcio Napoli,2022-10-23,250000000,299000000
Atalanta Bergamasca Calcio S.p.a.,Società Sportiva Lazio S.p.A.,2022-10-23,163500000,154500000
Bologna Football Club 1909,Unione Sportiva Lecce,2022-10-23,75300000,36400000
Udinese Calcio,Torino Calcio,2022-10-23,79000000,95500000
Associazione Calcio Fiorentina,Football Club Internazionale Milano S.p.A.,2022-10-22,133000000,335000000
Associazione Calcio Milan,AC Monza,2022-10-22,231600000,57900000
US Salernitana 1919,Spezia Calcio,2022-10-22,41600000,43600000
Juventus Football Club,FC Empoli,2022-10-21,255500000,53700000
Unione Sportiva Lecce,Associazione Calcio Fiorentina,2022-10-17,29600000,136500000
UC Sampdoria,Associazione Sportiva Roma,2022-10-17,38700000,222000000
Verona Hellas Football Club,Associazione Calcio Milan,2022-10-16,46800000,299100000
Spezia Calcio,Unione Sportiva Cremonese S.p.A.,2022-10-16,46100000,35500000
Football Club Internazionale Milano S.p.A.,US Salernitana 1919,2022-10-16,336000000,51100000
Società Sportiva Calcio Napoli,Bologna Football Club 1909,2022-10-16,247000000,77300000
Società Sportiva Lazio S.p.A.,Udinese Calcio,2022-10-16,178500000,91000000
FC Empoli,AC Monza,2022-10-15,45500000,71000000
Atalanta Bergamasca Calcio S.p.a.,Unione Sportiva Sassuolo Calcio,2022-10-15,164500000,94100000
Torino Calcio,Juventus Football Club,2022-10-15,81900000,292000000
Associazione Calcio Fiorentina,Società Sportiva Lazio S.p.A.,2022-10-10,123500000,179500000
US Salernitana 1919,Verona Hellas Football Club,2022-10-09,47700000,46000000
Associazione Sportiva Roma,Unione Sportiva Lecce,2022-10-09,230500000,32400000
Unione Sportiva Cremonese S.p.A.,Società Sportiva Calcio Napoli,2022-10-09,36500000,258000000
AC Monza,Spezia Calcio,2022-10-09,63800000,48900000
Udinese Calcio,Atalanta Bergamasca Calcio S.p.a.,2022-10-09,89000000,168500000
Torino Calcio,FC Empoli,2022-10-09,85400000,53600000
Bologna Football Club 1909,UC Sampdoria,2022-10-08,71200000,39500000
Associazione Calcio Milan,Juventus Football Club,2022-10-08,330100000,259000000
Unione Sportiva Sassuolo Calcio,Football Club Internazionale Milano S.p.A.,2022-10-08,100500000,318000000
Verona Hellas Football Club,Udinese Calcio,2022-10-03,49200000,81000000
Unione Sportiva Sassuolo Calcio,US Salernitana 1919,2022-10-02,100500000,65900000
UC Sampdoria,AC Monza,2022-10-02,41000000,68400000
Juventus Football Club,Bologna Football Club 1909,2022-10-02,276000000,60700000
Unione Sportiva Lecce,Unione Sportiva Cremonese S.p.A.,2022-10-02,34400000,26700000
Atalanta Bergamasca Calcio S.p.a.,Associazione Calcio Fiorentina,2022-10-02,138500000,99000000
Società Sportiva Lazio S.p.A.,Spezia Calcio,2022-10-02,195000000,47300000
Società Sportiva Calcio Napoli,Torino Calcio,2022-10-01,268000000,91900000
FC Empoli,Associazione Calcio Milan,2022-10-01,47000000,288600000
Football Club Internazionale Milano S.p.A.,Associazione Sportiva Roma,2022-10-01,370000000,231000000
Associazione Sportiva Roma,Atalanta Bergamasca Calcio S.p.a.,2022-09-18,249000000,175500000
Associazione Calcio Milan,Società Sportiva Calcio Napoli,2022-09-18,313500000,235000000
Udinese Calcio,Football Club Internazionale Milano S.p.A.,2022-09-18,84000000,358000000
AC Monza,Juventus Football Club,2022-09-18,76700000,231000000
Associazione Calcio Fiorentina,Verona Hellas Football Club,2022-09-18,105000000,55800000
Unione Sportiva Cremonese S.p.A.,Società Sportiva Lazio S.p.A.,2022-09-18,33100000,165500000
Torino Calcio,Unione Sportiva Sassuolo Calcio,2022-09-17,85000000,89500000
Bologna Football Club 1909,FC Empoli,2022-09-17,78500000,60300000
Spezia Calcio,UC Sampdoria,2022-09-17,45700000,36700000
US Salernitana 1919,Unione Sportiva Lecce,2022-09-16,58900000,29700000
FC Empoli,Associazione Sportiva Roma,2022-09-12,53800000,251000000
Unione Sportiva Lecce,AC Monza,2022-09-11,30550000,77600000
Juventus Football Club,US Salernitana 1919,2022-09-11,239000000,58500000
Bologna Football Club 1909,Associazione Calcio Fiorentina,2022-09-11,72500000,124500000
Società Sportiva Lazio S.p.A.,Verona Hellas Football Club,2022-09-11,183000000,43150000
Unione Sportiva Sassuolo Calcio,Udinese Calcio,2022-09-11,102500000,70300000
Atalanta Bergamasca Calcio S.p.a.,Unione Sportiva Cremonese S.p.A.,2022-09-11,174000000,33600000
Società Sportiva Calcio Napoli,Spezia Calcio,2022-09-10,219000000,46200000
Football Club Internazionale Milano S.p.A.,Torino Calcio,2022-09-10,367000000,75400000
UC Sampdoria,Associazione Calcio Milan,2022-09-10,36700000,324500000
AC Monza,Atalanta Bergamasca Calcio S.p.a.,2022-09-05,75800000,170500000
US Salernitana 1919,FC Empoli,2022-09-05,44500000,44100000
Torino Calcio,Unione Sportiva Lecce,2022-09-05,75900000,21000000
Udinese Calcio,Associazione Sportiva Roma,2022-09-04,72800000,246000000
Unione Sportiva Cremonese S.p.A.,Unione Sportiva Sassuolo Calcio,2022-09-04,31100000,97000000
Spezia Calcio,Bologna Football Club 1909,2022-09-04,33700000,73700000
Verona Hellas Football Club,UC Sampdoria,2022-09-04,43650000,33300000
Associazione Calcio Milan,Football Club Internazionale Milano S.p.A.,2022-09-03,385500000,428000000
Società Sportiva Lazio S.p.A.,Società Sportiva Calcio Napoli,2022-09-03,209500000,282000000
Associazione Calcio Fiorentina,Juventus Football Club,2022-09-03,134500000,195000000
Bologna Football Club 1909,US Salernitana 1919,2022-09-01,60000000,45500000
Atalanta Bergamasca Calcio S.p.a.,Torino Calcio,2022-09-01,181000000,73400000
Società Sportiva Calcio Napoli,Unione Sportiva Lecce,2022-08-31,266000000,25850000
Juventus Football Club,Spezia Calcio,2022-08-31,248000000,33700000
FC Empoli,Verona Hellas Football Club,2022-08-31,41600000,59500000
Udinese Calcio,Associazione Calcio Fiorentina,2022-08-31,81000000,92500000
UC Sampdoria,Società Sportiva Lazio S.p.A.,2022-08-31,34900000,209500000
Football Club Internazionale Milano S.p.A.,Unione Sportiva Cremonese S.p.A.,2022-08-30,315000000,33500000
Associazione Sportiva Roma,AC Monza,2022-08-30,251000000,68900000
Unione Sportiva Sassuolo Calcio,Associazione Calcio Milan,2022-08-30,125000000,309000000
Verona Hellas Football Club,Atalanta Bergamasca Calcio S.p.a.,2022-08-28,52150000,182000000
US Salernitana 1919,UC Sampdoria,2022-08-28,44500000,36500000
Associazione Calcio Fiorentina,Società Sportiva Calcio Napoli,2022-08-28,148000000,282000000
Unione Sportiva Lecce,FC Empoli,2022-08-28,30600000,50100000
Spezia Calcio,Unione Sportiva Sassuolo Calcio,2022-08-27,34800000,131000000
Unione Sportiva Cremonese S.p.A.,Torino Calcio,2022-08-27,32100000,84400000
Juventus Football Club,Associazione Sportiva Roma,2022-08-27,249000000,246000000
Associazione Calcio Milan,Bologna Football Club 1909,2022-08-27,385500000,76000000
AC Monza,Udinese Calcio,2022-08-26,46700000,81000000
Società Sportiva Lazio S.p.A.,Football Club Internazionale Milano S.p.A.,2022-08-26,185000000,461000000
UC Sampdoria,Juventus Football Club,2022-08-22,36200000,255500000
Associazione Sportiva Roma,Unione Sportiva Cremonese S.p.A.,2022-08-22,274000000,35100000
Atalanta Bergamasca Calcio S.p.a.,Associazione Calcio Milan,2022-08-21,221000000,387000000
Società Sportiva Calcio Napoli,AC Monza,2022-08-21,282000000,55500000
FC Empoli,Associazione Calcio Fiorentina,2022-08-21,56100000,118000000
Bologna Football Club 1909,Verona Hellas Football Club,2022-08-21,60300000,58800000
Udinese Calcio,US Salernitana 1919,2022-08-20,77500000,34100000
Football Club Internazionale Milano S.p.A.,Spezia Calcio,2022-08-20,488000000,36400000
Torino Calcio,Società Sportiva Lazio S.p.A.,2022-08-20,80400000,185000000
Unione Sportiva Sassuolo Calcio,Unione Sportiva Lecce,2022-08-20,131000000,28500000
Juventus Football Club,Unione Sportiva Sassuolo Calcio,2022-08-15,256000000,105500000
Verona Hellas Football Club,Società Sportiva Calcio Napoli,2022-08-15,61500000,282000000
US Salernitana 1919,Associazione Sportiva Roma,2022-08-14,29500000,274000000
Società Sportiva Lazio S.p.A.,Bologna Football Club 1909,2022-08-14,198000000,52700000
Associazione Calcio Fiorentina,Unione Sportiva Cremonese S.p.A.,2022-08-14,106400000,31000000
Spezia Calcio,FC Empoli,2022-08-14,40900000,56100000
AC Monza,Torino Calcio,2022-08-13,54200000,64700000
Associazione Calcio Milan,Udinese Calcio,2022-08-13,346000000,65500000
UC Sampdoria,Atalanta Bergamasca Calcio S.p.a.,2022-08-13,36200000,193000000
Unione Sportiva Lecce,Football Club Internazionale Milano S.p.A.,2022-08-13,28000000,436000000
Football Club Internazionale Milano S.p.A.,UC Sampdoria,2022-05-22,433500000,39500000
Unione Sportiva Sassuolo Calcio,Associazione Calcio Milan,2022-05-22,168000000,325000000
US Salernitana 1919,Udinese Calcio,2022-05-22,18300000,61200000
Venezia FC,Cagliari Calcio,2022-05-22,36100000,68700000
Spezia Calcio,Società Sportiva Calcio Napoli,2022-05-22,36000000,202800000
Società Sportiva Lazio S.p.A.,Verona Hellas Football Club,2022-05-21,174500000,54250000
Associazione Calcio Fiorentina,Juventus Football Club,2022-05-21,107500000,229300000
Genoa Cricket and Football Club,Bologna Football Club 1909,2022-05-21,42800000,55200000
Atalanta Bergamasca Calcio S.p.a.,FC Empoli,2022-05-21,222000000,37000000
Torino Calcio,Associazione Sportiva Roma,2022-05-20,111300000,233500000
UC Sampdoria,Associazione Calcio Fiorentina,2022-05-16,39500000,140500000
Juventus Football Club,Società Sportiva Lazio S.p.A.,2022-05-16,238300000,184500000
Cagliari Calcio,Football Club Internazionale Milano S.p.A.,2022-05-15,70200000,398500000
Associazione Calcio Milan,Atalanta Bergamasca Calcio S.p.a.,2022-05-15,325000000,212000000
Società Sportiva Calcio Napoli,Genoa Cricket and Football Club,2022-05-15,318000000,38300000
Bologna Football Club 1909,Unione Sportiva Sassuolo Calcio,2022-05-15,71000000,174500000
Udinese Calcio,Spezia Calcio,2022-05-14,69000000,35900000
Verona Hellas Football Club,Torino Calcio,2022-05-14,73000000,103800000
Associazione Sportiva Roma,Venezia FC,2022-05-14,229000000,39300000
FC Empoli,US Salernitana 1919,2022-05-14,49500000,18900000
Associazione Calcio Fiorentina,Associazione Sportiva Roma,2022-05-09,129500000,226500000
Verona Hellas Football Club,Associazione Calcio Milan,2022-05-08,94000000,325000000
