squadra_casa,squadra_ospite,data_partita,valore_titolari_casa,valore_titolari_ospite
Associazione Calcio Milan,Football Club Internazionale Milano S.p.A.,2026-03-08,314000000,356000000
Associazione Calcio Fiorentina,Parma Calcio 1913,2026-03-08,112000000,71700000
Bologna Football Club 1909,Verona Hellas Football Club,2026-03-08,171000000,30700000
Unione Sportiva Lecce,Unione Sportiva Cremonese S.p.A.,2026-03-08,44200000,26400000
Genoa Cricket and Football Club,Associazione Sportiva Roma,2026-03-08,67900000,208000000
Juventus Football Club,Pisa Sporting Club,2026-03-07,342000000,28800000
Atalanta Bergamasca Calcio S.p.a.,Udinese Calcio,2026-03-07,187000000,59300000
Cagliari Calcio,Calcio Como,2026-03-07,87500000,193000000
Società Sportiva Calcio Napoli,Torino Calcio,2026-03-06,181500000,52000000
Pisa Sporting Club,Bologna Football Club 1909,2026-03-02,28800000,128500000
Udinese Calcio,Associazione Calcio Fiorentina,2026-03-02,62300000,124000000
Associazione Sportiva Roma,Juventus Football Club,2026-03-01,238500000,345000000
Unione Sportiva Sassuolo Calcio,Atalanta Bergamasca Calcio S.p.a.,2026-03-01,98800000,152500000
Unione Sportiva Cremonese S.p.A.,Associazione Calcio Milan,2026-03-01,24600000,318000000
Torino Calcio,Società Sportiva Lazio S.p.A.,2026-03-01,52000000,83500000
Football Club Internazionale Milano S.p.A.,Genoa Cricket and Football Club,2026-02-28,295500000,84500000
Verona Hellas Football Club,Società Sportiva Calcio Napoli,2026-02-28,30200000,183500000
Calcio Como,Unione Sportiva Lecce,2026-02-28,128000000,43800000
Parma Calcio 1913,Cagliari Calcio,2026-02-27,74700000,91500000
Associazione Calcio Fiorentina,Pisa Sporting Club,2026-02-23,131000000,46900000
Bologna Football Club 1909,Udinese Calcio,2026-02-23,158000000,84300000
Associazione Calcio Milan,Parma Calcio 1913,2026-02-22,286000000,74700000
Atalanta Bergamasca Calcio S.p.a.,Società Sportiva Calcio Napoli,2026-02-22,170000000,196700000
Genoa Cricket and Football Club,Torino Calcio,2026-02-22,86800000,46500000
Associazione Sportiva Roma,Unione Sportiva Cremonese S.p.A.,2026-02-22,236000000,31800000
Cagliari Calcio,Società Sportiva Lazio S.p.A.,2026-02-21,88900000,120500000
Unione Sportiva Lecce,Football Club Internazionale Milano S.p.A.,2026-02-21,46600000,357000000
Juventus Football Club,Calcio Como,2026-02-21,332000000,124000000
Unione Sportiva Sassuolo Calcio,Verona Hellas Football Club,2026-02-20,92000000,39800000
Associazione Calcio Milan,Calcio Como,2026-02-18,282000000,165000000
Cagliari Calcio,Unione Sportiva Lecce,2026-02-16,77700000,46600000
Unione Sportiva Cremonese S.p.A.,Genoa Cricket and Football Club,2026-02-15,32400000,84700000
Torino Calcio,Bologna Football Club 1909,2026-02-15,68000000,134000000
