Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Home_WinStreak,Away_WinStreak,Z_Home_Goals_Season,Z_Home_Wins_Season,Z_Away_Goals_Season,Z_Away_Wins_Season,GoalOnShotRatioHome,GoalOnShotRatioAway,HomeAdvantage,Home_Elo,Away_Elo,PointToMatchRatioHome,PointToMatchRatioAway
2015-09-13,Sassuolo,Atalanta,2,2,D,2015-2016,2,1,0.6514786446418827,1.7210377391187266,0.20865640550291867,0.5976143046671968,0.41666666666666663,0.09090909090909091,1.0,1519.6138665412898,1503.3774691357255,2.0,1.0
2015-09-13,Verona,Torino,2,2,D,2015-2016,0,2,-0.3596548236107928,-0.7132097307273311,1.6256553131034293,1.6606607138568275,0.07142857142857142,0.39285714285714285,0.0,1486.2250840228785,1523.519779049129,0.3333333333333333,2.0
2015-09-13,Palermo,Carpi,2,2,D,2015-2016,2,0,0.16441164750231146,1.788555907208375,0.6682645904028754,-0.614690947026179,0.5833333333333334,0.24285714285714285,1.0,1520.1479205774972,1475.1339799662412,2.0,0.0
2015-09-14,Sampdoria,Bologna,2,0,H,2015-2016,0,0,2.6210000351256917,0.4766781154370256,-0.35619169958230135,-0.7040082005611288,0.6071428571428572,0.125,1.0,1514.8660200337588,1480.3861334587102,1.3333333333333333,0.0
2015-09-19,Milan,Palermo,3,2,H,2015-2016,0,0,-0.22910087735143317,0.09062827110094461,0.4130519600278333,0.8861616258116133,0.16666666666666666,0.5,1.0,1489.5859927825989,1516.200680273789,0.75,1.75
2015-09-19,Udinese,Empoli,1,2,A,2015-2016,0,0,-0.5576046467530723,0.0759737176397586,0.41002033497980095,-0.707773548690833,0.16666666666666666,0.39999999999999997,0.0,1488.8318467439176,1471.4683845934035,0.75,0.25
2015-09-20,Atalanta,Verona,1,1,D,2015-2016,0,0,0.4202847846717932,0.07538387966709197,-0.00837670465151253,-0.8064082766930276,0.2272727272727273,0.2698412698412698,1.0,1506.6035482235043,1484.4396243244187,1.0,0.5
2015-09-20,Genoa,Juventus,0,2,A,2015-2016,0,0,-0.26233033431358116,0.0821271455439102,-0.2675202618059768,-0.7592510392580135,0.1111111111111111,0.21428571428571427,1.0,1496.4779126219523,1479.0271298388907,0.75,0.25
2015-09-20,Bologna,Frosinone,1,0,H,2015-2016,0,0,-0.5620452518600635,-0.73560774100994,-0.5959708730824959,-0.7474108656713632,0.08333333333333333,0.1111111111111111,0.0,1470.9185319828416,1458.7639516809506,0.0,0.0
2015-09-20,Napoli,Lazio,5,0,H,2015-2016,0,1,0.7360010578809788,-0.7642573601500247,0.4029417734222268,0.8856301891714442,0.373015873015873,0.1574074074074074,0.0,1492.885329694167,1505.3123600114104,0.5,1.5
2015-09-20,Chievo,Inter,0,1,A,2015-2016,0,3,1.7335107176666076,0.9137820888291083,0.39986158775278186,1.735873991928223,0.7111111111111111,0.2642857142857143,1.0,1533.489818724383,1526.0602929298307,1.75,2.25
2015-09-20,Torino,Sampdoria,2,0,H,2015-2016,0,1,1.3385538155008407,0.8576664069290746,2.074537285420234,0.8773745606526142,0.3952380952380952,0.5714285714285715,1.0,1525.3052387475889,1524.3336215096274,1.75,1.75
2015-09-20,Roma,Sassuolo,2,2,D,2015-2016,2,0,0.7284827240378579,0.8877545314489291,0.6798740050127088,0.8673518782161052,0.35912698412698413,0.35185185185185186,1.0,1527.450153285254,1516.387787453511,1.75,1.75
