Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Day,Home_WinStreak,Away_WinStreak,Z_Home_Goals_Season,Z_Home_Wins_Season,Z_Away_Goals_Season,Z_Away_Wins_Season,GoalOnShotRatioHome,GoalOnShotRatioAway,HomeAdvantage,HomeElo,AwayElo,Home_Current_Points,Away_Current_Points,HomeValue,AwayValue,PointToMatchRatioHome,PointToMatchRatioAway
2015-09-12,Frosinone,Roma,0.0,2.0,A,2015-2016,3,0,1,-0.2300965903421158,-0.5797116298389154,0.6763161596284208,0.6065341483765204,0.1666666666666666,0.2053571428571428,0.0,1476.6225308642745,1509.59157410193,0,4,16750000.0,116000000.0,0.0,1.3333333333333333
2015-09-12,Juventus,Chievo,1.0,1.0,D,2015-2016,3,0,2,-0.2348782252090036,-0.5888753633396349,2.6365314633916164,1.832575600987128,0.25,0.9,0.0,1480.40842589807,1532.1085226652035,0,6,181500000.0,18800000.0,0.0,2.0
2015-09-13,Empoli,Napoli,2.0,2.0,D,2015-2016,3,0,0,0.1936162141633084,-0.6059599821770411,0.6573123860586985,-0.6507040734905544,0.2666666666666666,0.3095238095238095,0.0,1473.8207093183726,1490.533004969198,0,1,26800000.0,148000000.0,0.0,0.3333333333333333
2015-09-13,Inter,Milan,1.0,0.0,H,2015-2016,3,2,1,0.6610100616066586,1.8425774631122305,0.1776374436792085,0.5648388012396478,0.2714285714285714,0.25,1.0,1519.466995030802,1496.1792906816274,6,3,144000000.0,104500000.0,2.0,1.0
2015-09-13,Lazio,Udinese,2.0,0.0,H,2015-2016,3,0,0,0.1794268993044581,0.5722102707637441,-0.3632211964170764,0.453044366618597,0.1111111111111111,0.25,1.0,1494.2921273328252,1499.8520794225028,3,3,92750000.0,46750000.0,1.0,1.0
2015-09-13,Palermo,Carpi,2.0,2.0,D,2015-2016,3,2,0,0.1644116475023114,1.788555907208375,0.6682645904028754,-0.614690947026179,0.5833333333333334,0.2428571428571428,1.0,1520.1479205774972,1475.1339799662412,6,0,31850000.0,16900000.0,2.0,0.0
2015-09-13,Sassuolo,Atalanta,2.0,2.0,D,2015-2016,3,2,1,0.6514786446418827,1.7210377391187266,0.2086564055029186,0.5976143046671968,0.4166666666666666,0.0909090909090909,1.0,1519.6138665412898,1503.3774691357255,6,3,45600000.0,33050000.0,2.0,1.0
2015-09-13,Verona,Torino,2.0,2.0,D,2015-2016,3,0,2,-0.3596548236107928,-0.7132097307273311,1.6256553131034293,1.6606607138568277,0.0714285714285714,0.3928571428571428,0.0,1486.2250840228785,1523.519779049129,1,6,19000000.0,38000000.0,0.3333333333333333,2.0
2015-09-14,Sampdoria,Bologna,2.0,0.0,H,2015-2016,3,0,0,2.621000035125692,0.4766781154370256,-0.3561916995823013,-0.7040082005611288,0.6071428571428572,0.125,1.0,1514.8660200337588,1480.3861334587102,4,0,63775000.0,40300000.0,1.3333333333333333,0.0
2015-09-19,Milan,Palermo,3.0,2.0,H,2015-2016,4,0,0,-0.2291008773514331,0.0906282711009446,0.4130519600278333,0.8861616258116133,0.1666666666666666,0.5,1.0,1489.5859927825989,1516.200680273789,3,7,104500000.0,33350000.0,0.75,1.75
2015-09-19,Udinese,Empoli,1.0,2.0,A,2015-2016,4,0,0,-0.5576046467530723,0.0759737176397586,0.4100203349798009,-0.707773548690833,0.1666666666666666,0.3999999999999999,0.0,1488.8318467439176,1471.4683845934037,3,1,39950000.0,26900000.0,0.75,0.25
